INPUT:id	INPUT:left	INPUT:lemma	INPUT:right	INPUT:senses	INPUT:word	OUTPUT:sense_id	CONFIDENCE:sense_id	OUTPUT:activity	GOLDEN:sense_id	
814	выбрал и объединил по принципу очковтирательства. -- Как?! -- Когда мы даем недолговечные	гусеница	, мы говорим, что они недолговечны. Они служат указанный нами недолгий срок. Но		гусеницы	2	99.98%			
1151	включить заднюю, ехавшая за мной машина пошла мне в лоб и остановилась «	капот	в капот». Из нее выскочили четверо крепких ребят с железными прутами. Амбал		капот	1	99.95%			
1846	обречены быть вместе . Люди действуют как запрограммированные , они исполняют им предначертанное , тема	рок	подчеркивается обилием совпадений , с точки зрения рутины необъяснимых . Эта тема музыкальна -- музыку		рока	2	99.60%			
533	никак не дойти. Третий и четвертый тома поэтому «никто не читал» («никто» --	гипербола	, но «один из тысячи читал» -- критический реализм). Зачем же тогда ракету на		гипербола	1	99.99%			
275	может отрицать легитимность КС — ее мнение так же мало волнует «белоленточников», как	байка	Владимира Чурова или детали политических программ КПРФ, ЛДПР и СР. Они хотят		байки	2	99.82%			
377	, на тайгу, на нее, свою жену. Варя положила на могилу его любимые	гвоздика	, привезенные из города, и сидела, не сводя глаз с фотографии до тех		гвоздики	1	99.99%			
2142	в платье, не иначе как до полу, и переиграть всю эту желтую	стопка	сонатин и вальсов, проявив поразительную способность читать по нотам... Мое воображение зашло		стопку	1	99.99%			
2046	, пустой человек: ничего не знает, не отличит хитона от тоги,	слог	Саллюстия от слога Тита Ливия... Да, это правда, может быть, и не		слога	2	99.98%			
2442	кровати с компрессом на лбу выводит высокие рулады дядя Герман. Громкий лай	такса	уже не мог их разбудить. Поймав таксу, Таня решительно сунула совершенно обезумевшую		таксы	2	99.99%			
2386	никогда не забудет про тех, кто бедствует. Трюмным надзирателям всегда уплатят по	такса	, и они -- сами, ночью, отнесут грузы, и забросят в каждый бокс туго		таксе	1	99.99%			
2113	это поверить. Письмо Бонгарда лежит у меня в среднем ящике стола, в	стопка	писем, полученных недавно. Выделяется оно из них совершенно пожелтевшим конвертом. Летом в		стопке	1	98.71%			
1069	... нет, я совершенно не знаю... -- Ты прав, -- усмехнулась Марта, -- конечно, есть	кабачок	, где можно познакомиться с какой-нибудь личностью, -- вроде тех, которые торгуют кокаином... Но		кабачки	1	99.98%			
327	цветет много желтых, шуршащих под пальцами чешуйчатых бессмертников-иммортелей и белой пахучей	гвоздика	с красноватыми пятнышками на растрепанных лепестках. А под соснами полно молочных маслюков.		гвоздики	1	99.99%			
2146	давешний Данила, осуществляя мимо них свои ходки за бельем, выворачивал поверх белых	стопка	жилистую шею и завороженно глядел на городских девочек. С лица Данилы не		стопок	1	99.92%			
2531	дворе, кроме меня, русских там не было, а жили еще приставленный от	шах	мехмендарь Мирза-Абул-Гуссейн-хан и караульный султан. Когда народ, с криком,		шаха	1	99.99%			
1856	Регион, Александр Шелл) – 13 января в Екатеринбурге пройдет седьмой фестиваль «Старый Новый	рок	». Как сообщила пресс-атташе мероприятия Людмила Суслова, на мероприятии на трех разных площадках		Рок	2	99.97%			
654	носяй печать, яко орел покрыти гнездо свое и на птенца своя вожделе,	град	Киев с прочими грады, царского своего орла некогда гнездо сущий хотяй милостию		град	3	99.83%			
