id	lemma	sense_id	left	word	right	senses
1	акция	1	7%. Вместе с тем, на мировых рынках нашлись и группы компаний, чьи	акции	пошли вверх. Прежде всего это относится к таким крупнейшим производителям лекарств и	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
2	акция	1	в ЕГРЮЛ только 5 октября 2012 года, а госрегистрация отчета о выпуске	акций	датируется 7 декабря 2012 года. Допэмиссию акций завершили в начале сентября 2013	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
3	акция	1	. Особенно чувствительным было падение за последнюю неделю, когда на Московской бирже обыкновенные	акции	банка просели более чем в два раза по сравнению с динамикой индекса	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
4	акция	1	". ОАО ""Росспиртпром"" (бывшее ФГУП) создано в январе 2009 года. Государству принадлежит 100%"	акций	"ОАО, уставный капитал составляет 9,02 миллиарда рублей. Также в капитал ""Росспиртпрома"""	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
5	акция	1	в инструмент для спекуляций. Бумаги Сбербанка же выступают абсорбентом денег от продажи	акций	компаний других секторов», – полагает М. Шеин. «На рынке, как мне кажется, началась	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
6	акция	1	. Впрочем, одна вполне конкретная реакция на это заявление была: за несколько дней	акции	«Иркутскэнерго» подорожали на 70%. Не исключено, что от этой идеи отказались под	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
7	акция	1	словам представителя министерства, «планируется, что государство в создаваемом СП будет владеть 51%	акций	, Dujetikana — 24%, Lietuvos dujos — 23%». Остальные доли будут распределены среди мелких акционеров	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
8	акция	1	Новый Регион»: Они вместе контролировали активы на Украине. Белковский: Да. «Новый Регион»:	Акции	областных энергетических компаний и сетей отелей Украины, в числе которых отель «Премьер	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
9	акция	1	млрд долл.», — отмечается в финансовом отчете «Газпрома» по МСФО за первый квартал.	Акции	компания скупает в интересах своей нефтяной «дочки». В пресс-службе «Газпром нефти» пояснили	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
10	акция	1	— 106,7 млрд руб. Уставный капитал компании состоит из 124,8 млн	акций	. Контрольный пакет (54,42%) через Dixy Holding Limited принадлежит группе «Меркурий» Игоря	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
11	акция	1	ГЭС - более 9 ГВт. Федеральному агентству по управлению государственным имуществом принадлежит 40 %	акций	"ОАО ""Иркутскэнерго"", 50,19 % акций находятся в собственности частной энергокомпании ""ЕвроСибЭнерго"" (принадлежит"	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
12	акция	2	области проходит уже во второй раз, но в этом году официальный старт	акции	"даст глава региона Олег Бетин на митинге, посвященном Празднику Весны и Труда"", -"	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
13	акция	1	), а также инвестиционного банка «Открытие» (на 100% принадлежит ФК). «Размер пакета	акций	АСВ в объединенном банке составит около 17% при оценочном подходе к определению	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
14	акция	1	состав группы «Балтика». Последняя планировала перевести на единую акцию свои дочерние компании,	акции	которых котировались в RTS Board. Конвертация была запланирована на 28 декабря. Однако	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
15	акция	1	мог получить около 81 млн долл. Нельзя исключать, что сделка по продаже	акций	офшорам была проведена Deutsche Bank также и с целью налоговой оптимизации, но	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
16	акция	1	40 млрд долл. в течение последних двух лет. С начала года их	акции	подорожали в среднем на 36% и, как полагают аналитики, коррекция им не	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
17	акция	1	Кубка Франции против «Сошо», который вывел «Монако» в полуфинал турнира, немного повысил	акции	форварда. Но чтобы убедить руководство княжеского клуба выкупить его контракт у ЦСКА	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
18	акция	1	» Банка ЗЕНИТ, использовавшего агрессивную стратегию, за год составила 61,5%, то ПИФ	акций	«Петр Столыпин» (УК «ОФГ Инвест») — всего 50,7%. Фонд «Петрокоммерц-1» (банк	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
19	акция	2	в гетто , подыхали в лесу , согбенные до земли , и , главное , теперь , после	акции	, знали , что их неминуемо ждёт смерть , твёрдо это знали , примирились , свыклись с	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
20	акция	2	мы снизили цены на 20—30% на большинство наших продуктов, и эта	акция	действует до конца июня. В зависимости от дальнейшего развития ситуации возможны и	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
21	акция	1	ансамбля из двух отелей — «Будапешт» и «Петр I». Продав на аукционе 100%	акций	ОАО «Отель «Будапешт» и 30-процентный пакет в ОАО «Гостиница «Будапешт», структурам,	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
22	акция	1	это сделать в ближайшее время. В смешанных фондах (в портфеле могут сочетаться	акции	и облигации) очень много зависит от профессионализма управляющего. Поэтому среди них стоит	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
23	акция	1	этом основные причины высокого инвестиционного рейтинга «Транснефти», который не зависит от стоимости	акций	компании. – Что Вы можете ответить на претензии экологов к новому проекту трубопровода	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
24	акция	1	состава компании несостоятельны», — говорит он. При этом юрист отмечает, что цена выкупа	акций	должна рассчитываться исходя из комплекса данных за последние полгода. Среди критериев — средневзвешенные	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
25	акция	1	Мартьянова официально раскрыла акционеров головной одноименной компании группы. Ей принадлежит 9,62%	акций	страховщика, еще 30% — 14 физлицам, в частности ряду менеджеров компании, а также	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
26	акция	1	Unicredit S.p.A. В консорциуме перевозчику будет принадлежать 95%. Для покупки	акций	«Аэрофлот» получил принципиальное согласие от банков на финансирование этой сделки, сообщил вчера	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
27	акция	1	своей нефтяной «дочки». В пресс-службе «Газпром нефти» пояснили, что помимо 49,39%	акций	SE, которыми компания владеет напрямую, она имеет право приобрести у «Газпрома» оставшиеся	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели
